VAR_NAME;IV;Power
Contract;1,238559793;Suspicious
OnlineSecurity;0,717777139;Suspicious
TechSupport;0,699567295;Suspicious
tenure_bin;0,64117109;Suspicious
InternetService;0,617952574;Suspicious
OnlineBackup;0,528634123;Suspicious
DeviceProtection;0,499724505;Strong
PaymentMethod;0,457108933;Strong
StreamingMovies;0,381374312;Strong
StreamingTV;0,38046233;Strong
TheoMonthlyCharges_bin;0,340023855;Strong
MonthlyCharges_bin;0,258230876;Medium
PaperlessBilling;0,203068385;Medium
Dependents;0,155487715;Medium
TotalCharges_bin;0,151768503;Medium
Partner;0,118728503;Medium
SeniorCitizen;0,105621183;Medium
DiffCharges_bin;0,084243329;Weak
MultipleLines;0,008206812;Useless
PhoneService;0,00074484;Useless
gender;0,000380437;Useless
